id,uid,app_name,time_unix,duration_sec,start_datetime,hour_of_day,day_of_week,is_weekend,end_time_unix,gap_to_next_app_sec,is_new_session
572166,B04,SpringBoard,1287334395,3,2010-10-17 16:53:15,16,6,1,1287334398,0,0
572167,B04,com.facebook.Facebook,1287334398,126,2010-10-17 16:53:18,16,6,1,1287334524,0,0
572168,B04,SpringBoard,1287334524,13,2010-10-17 16:55:24,16,6,1,1287334537,97,0
572169,B04,com.apple.MobileSMS,1287334634,68,2010-10-17 16:57:14,16,6,1,1287334702,2919,1
572170,B04,SpringBoard,1287337621,4,2010-10-17 17:47:01,17,6,1,1287337625,784,1
572171,B04,com.apple.MobileSMS,1287338409,5,2010-10-17 18:00:09,18,6,1,1287338414,0,1
572172,B04,SpringBoard,1287338414,16,2010-10-17 18:00:14,18,6,1,1287338430,878,0
572173,B04,com.apple.MobileSMS,1287339308,5,2010-10-17 18:15:08,18,6,1,1287339313,528,1
572174,B04,SpringBoard,1287339841,7,2010-10-17 18:24:01,18,6,1,1287339848,0,1
572175,B04,com.apple.mobilemail,1287339848,14,2010-10-17 18:24:08,18,6,1,1287339862,0,0
572176,B04,com.apple.mobilesafari,1287339862,9,2010-10-17 18:24:22,18,6,1,1287339871,0,0
572177,B04,SpringBoard,1287339871,9,2010-10-17 18:24:31,18,6,1,1287339880,349,0
572178,B04,com.apple.mobileslideshow-Photos,1287340229,51,2010-10-17 18:30:29,18,6,1,1287340280,0,1
572179,B04,SpringBoard,1287340280,7,2010-10-17 18:31:20,18,6,1,1287340287,0,0
572180,B04,com.weather.TWC,1287340287,27,2010-10-17 18:31:27,18,6,1,1287340314,0,0
572181,B04,SpringBoard,1287340314,3,2010-10-17 18:31:54,18,6,1,1287340317,0,0
572182,B04,com.apple.MobileSMS,1287340317,81,2010-10-17 18:31:57,18,6,1,1287340398,0,0
572183,B04,SpringBoard,1287340398,5,2010-10-17 18:33:18,18,6,1,1287340403,0,0
572184,B04,com.apple.mobilemail,1287340403,12,2010-10-17 18:33:23,18,6,1,1287340415,0,0
572185,B04,com.apple.MobileSMS,1287340415,27,2010-10-17 18:33:35,18,6,1,1287340442,0,0
572186,B04,SpringBoard,1287340442,1,2010-10-17 18:34:02,18,6,1,1287340443,0,0
572187,B04,com.apple.mobilesafari,1287340443,3,2010-10-17 18:34:03,18,6,1,1287340446,0,0
572188,B04,SpringBoard,1287340446,5,2010-10-17 18:34:06,18,6,1,1287340451,0,0
572189,B04,com.yelp.yelpiphone,1287340451,711,2010-10-17 18:34:11,18,6,1,1287341162,851,0
